,2024-02-29 00:00:00-05:00,2024-03-31 00:00:00-04:00,2024-04-30 00:00:00-04:00,2024-05-31 00:00:00-04:00,2024-06-30 00:00:00-04:00,2024-07-31 00:00:00-04:00,2024-08-31 00:00:00-04:00,2024-09-30 00:00:00-04:00,2024-10-31 00:00:00-04:00,2024-11-30 00:00:00-05:00,2024-12-31 00:00:00-05:00,2025-01-31 00:00:00-05:00,2025-02-28 00:00:00-05:00
MMM,75.67953491210938,87.13990783691406,94.82612609863281,99.07613372802734,101.10436248779297,126.19493865966797,133.9774627685547,135.97682189941406,127.79036712646484,133.52999877929688,129.08999633789062,152.1999969482422,151.3000030517578
AOS,81.4897232055664,87.93812561035156,81.74510192871094,82.53453826904297,80.6991195678711,84.23147583007812,82.92402648925781,88.97593688964844,74.72064971923828,74.11373138427734,67.8654556274414,67.30000305175781,66.99500274658203
ABT,116.2705078125,111.38996887207031,104.36860656738281,100.64573669433594,102.33973693847656,104.89260864257812,112.15013885498047,112.88282012939453,112.7781753540039,118.14997863769531,112.51953125,127.93000030517578,128.00999450683594
ABBV,169.86231994628906,175.69967651367188,158.38914489746094,157.0257568359375,167.03707885742188,182.13429260253906,192.93536376953125,194.08523559570312,201.96542358398438,181.22105407714844,176.0399169921875,183.89999389648438,189.30999755859375
ACN,370.1974792480469,342.3719177246094,298.3815612792969,279.91802978515625,300.860595703125,329.2796936035156,340.56378173828125,352.0470275878906,344.82000732421875,362.3699951171875,351.7900085449219,384.95001220703125,388.5151062011719
